"Value";"Number of Pins";"RefDes"
"27pF";"2";"C1"
"100nF";"2";"C2"
"10pF";"2";"C3"
"100nF";"2";"C4"
"1uF";"2";"C5"
"100nF";"2";"C6"
"100nF";"2";"C7"
"100nF";"2";"C8"
"100nF";"2";"C9"
"100nF";"2";"C10"
"100nF";"2";"C11"
"100nF";"2";"C12"
"100nF";"2";"C13"
"100nF";"2";"C14"
"100nF";"2";"C15"
"100nF";"2";"C16"
"100nF";"2";"C17"
"100nF";"2";"C18"
"100nF";"2";"C21"
"100nF";"2";"C22"
"100nF";"2";"C23"
"";"40";"J1"
"61 - 70";"20";"J2"
"41 - 45";"10";"J3"
"";"40";"J4"
"";"40";"J5"
"";"20";"J6"
"";"20";"J7"
"";"10";"J8"
"";"10";"J9"
"";"40";"J10"
"";"20";"J11"
"";"10";"J12"
"ATX12v 2.x";"24";"J13"
"390";"2";"R1"
"4k7";"2";"R2"
"4k7";"2";"R3"
"1M";"2";"R4"
"1M";"2";"R5"
"1K";"2";"R6"
"1K";"2";"R7"
"4k7";"2";"R8"
"4k7";"2";"R9"
"4k7";"2";"R10"
"4k7";"2";"R11"
"4k7";"2";"R12"
"4k7";"2";"R13"
"4k7";"2";"R14"
"4k7";"2";"R15"
"1k";"2";"R16"
"4k7";"2";"R17"
"4k7";"2";"R18"
"4k7";"2";"R19"
"";"2";"S1"
"";"3";"S2"
"";"3";"S3"
"ON/OFF";"3";"S4"
"68HC000";"68";"U1"
"555";"8";"U2"
"74HC05";"12";"U3"
"74LS08";"12";"U4"
"74HC139 - 1";"14";"U5"
"74HCT04";"12";"U6"
"29F020";"32";"U7"
"29F020";"32";"U8"
"74LS11";"12";"U9"
"74HC74";"6";"U10"
"LP621024";"32";"U12"
"LP621024";"32";"U13"
"74HCT138";"14";"U14"
"74HCT08";"12";"U15"
"74HCT73";"12";"U16"
"74HCT32";"12";"U17"
"74HCT04";"12";"U18"
"18.4320Mhz";"3";"X2"
"";"732";""
